temperature,rainfall,humidity,pressure,today_raining,tomorrow_raining
20.8,1.84,61.1,1003.0,1,1
29.1,7.06,77.3,1004.6,1,1
25.8,1.75,50.5,1012.8,0,0
32.7,1.25,93.5,1008.9,1,1
19.4,1.57,30.8,990.6,0,0
22.4,3.31,83.8,1007.0,0,1
21.9,1.9,73.5,1011.5,1,1
13.3,2.08,25.7,1003.6,0,1
27.4,7.11,100.0,1023.3,1,1
27.1,1.93,58.7,1026.8,0,0
25.0,0.96,42.5,1011.8,0,0
23.1,2.35,31.9,1016.5,1,0
13.7,2.15,55.6,980.6,0,0
21.6,0.03,57.5,1006.7,1,1
22.3,1.26,62.1,1028.1,0,0
18.6,2.72,54.0,1006.6,1,1
23.7,1.38,72.7,1001.9,1,1
28.2,3.02,52.2,1047.2,0,1
40.1,1.2,21.3,1040.3,0,1
26.4,8.19,57.0,1020.0,1,1
27.1,0.69,12.7,1030.1,0,0
24.4,0.19,67.1,979.6,0,0
9.6,1.12,40.4,1001.2,1,1
24.8,1.56,63.3,1006.0,0,0
25.5,0.86,86.3,1009.5,0,0
44.7,0.55,41.0,1005.7,1,1
23.5,2.23,81.2,974.7,1,0
27.4,0.95,51.3,1018.8,0,1
24.7,2.0,95.1,1021.2,0,1
15.7,3.02,52.7,1037.0,0,0
34.1,2.86,43.2,1001.2,0,1
31.0,0.94,73.7,999.9,1,1
31.3,1.68,51.3,972.8,0,0
17.7,1.19,43.2,1008.6,0,1
36.2,4.09,50.4,1026.5,0,1
13.8,4.22,59.1,1003.8,0,1
29.7,0.84,86.8,1045.2,0,0
42.5,0.19,21.3,1009.2,0,0
17.1,0.37,60.5,1015.2,0,0
20.5,0.91,72.5,992.6,0,1
25.8,1.66,63.9,1017.3,1,0
21.0,2.14,86.2,983.3,1,1
12.6,0.81,58.5,1023.4,0,0
25.5,2.2,56.3,1023.9,0,0
16.5,5.55,71.8,1033.4,1,0
28.8,2.11,62.0,997.7,0,0
17.6,0.35,52.2,1015.4,0,0
37.4,1.73,70.3,1021.5,0,1
18.7,1.56,46.9,1019.6,0,0
22.4,4.09,47.8,1000.0,1,0
31.5,0.86,49.4,977.1,0,1
15.2,1.1,87.1,1018.2,1,1
26.8,1.83,0.0,1010.7,1,0
35.5,1.49,67.9,1004.5,0,1
12.1,2.54,60.7,1024.5,0,0
26.5,0.08,26.4,1012.3,0,0
27.1,1.66,66.2,993.2,0,1
31.3,0.26,69.5,984.0,1,1
15.1,0.76,71.8,996.1,1,1
14.4,2.17,7.0,1048.9,0,0
29.2,0.34,87.3,1023.8,1,1
27.4,0.74,45.2,1015.8,0,0
27.0,2.43,73.7,1010.3,0,0
27.8,2.1,74.8,1009.3,0,0
19.6,0.19,42.5,1030.5,0,0
26.9,1.72,73.2,1005.6,0,0
27.3,0.32,52.3,1021.7,0,1
19.3,0.58,18.6,1007.8,0,0
39.9,1.23,83.4,1042.1,0,0
28.8,0.23,44.5,1024.1,0,0
15.5,10.12,42.9,1031.7,1,1
30.3,0.36,51.9,1004.2,0,0
17.2,3.04,65.4,1028.9,0,0
31.3,3.54,58.9,1008.3,1,1
34.3,10.39,71.0,1014.7,1,1
18.4,1.12,33.2,1037.5,0,0
32.7,4.14,45.2,997.4,0,0
28.3,6.32,57.7,1016.0,0,1
31.6,0.38,98.0,1019.6,0,1
40.2,1.31,57.7,1020.8,0,0
23.0,0.12,81.7,1006.2,1,0
19.0,1.94,60.8,1044.3,0,0
17.9,1.74,50.3,993.6,1,1
18.5,0.46,55.1,1034.9,1,1
24.4,3.2,56.6,1031.2,0,0
27.7,0.08,72.1,1041.5,1,1
27.2,3.28,87.5,989.2,0,1
31.6,0.05,67.2,1000.0,0,0
25.1,2.14,83.7,1035.4,1,1
36.6,0.16,40.7,984.8,0,1
22.9,0.58,51.7,988.9,0,0
46.8,2.56,45.5,1005.7,0,0
30.0,0.66,66.3,1015.9,1,1
18.1,1.43,52.8,1036.9,0,1
16.4,4.94,74.6,1010.2,0,0
28.9,0.1,41.4,1003.9,0,0
23.2,3.33,60.9,1017.7,0,1
30.7,0.13,73.7,1020.0,0,0
28.8,0.27,18.7,1019.6,0,0
24.4,0.25,100.0,1010.3,1,1
18.2,10.27,54.3,983.7,1,1
12.9,0.4,19.5,999.2,0,0
21.4,4.54,63.2,1034.3,1,1
31.9,9.41,60.7,1015.8,1,1
26.7,0.97,58.4,1008.2,0,1
15.0,1.99,79.8,1029.8,0,0
26.4,3.02,74.9,996.0,1,1
28.1,1.0,66.0,1009.6,0,1
17.9,0.35,69.0,1015.1,0,0
26.2,1.14,57.9,1006.4,0,0
25.5,2.96,95.5,1014.5,1,1
15.9,3.04,30.4,1010.2,1,0
27.9,0.52,62.8,992.0,0,0
29.5,0.38,61.3,1015.7,0,0
33.7,5.07,76.3,993.1,0,0
33.4,0.09,43.1,1015.5,1,0
14.0,2.65,25.1,1033.6,0,0
17.5,0.1,63.1,1008.8,0,0
29.1,3.64,65.6,995.4,1,1
29.1,4.72,89.8,1011.1,1,1
29.1,0.71,34.6,1000.5,0,1
55.8,0.15,83.1,1021.9,1,0
29.6,1.31,100.0,1010.8,0,0
34.1,0.71,52.4,1038.6,1,0
32.6,1.08,34.2,1030.4,0,0
30.2,2.19,51.9,1010.7,1,1
22.5,0.47,60.3,1023.7,0,0
31.1,0.88,71.3,1007.1,0,1
18.8,3.05,48.2,1013.5,1,0
23.1,2.06,91.1,1007.6,1,1
21.1,0.79,37.7,1024.5,0,0
25.7,2.18,25.2,1034.5,0,0
43.5,2.9,82.1,1025.0,1,1
10.1,1.8,14.5,1026.8,0,0
30.5,0.55,55.9,1026.8,0,0
12.1,0.0,100.0,1021.3,0,0
21.2,3.25,59.8,995.9,0,0
33.7,3.46,37.6,1038.5,0,1
25.5,2.39,58.9,1040.1,0,0
16.4,0.16,59.0,1009.5,1,0
19.3,1.76,63.2,1007.4,1,1
30.4,3.44,73.2,1022.2,1,1
19.2,0.99,39.2,1021.3,0,1
26.7,0.44,93.8,1010.0,0,0
25.4,1.77,64.9,994.2,0,1
19.8,3.5,74.5,1017.6,0,0
42.2,0.1,47.4,1021.3,0,1
30.1,1.82,85.7,1023.9,0,0
8.8,2.06,54.9,1018.2,1,1
26.5,1.84,65.6,1008.9,0,1
19.7,2.1,41.3,1027.9,0,1
31.8,2.0,40.1,1014.0,0,0
18.7,0.28,73.8,1006.0,0,1
24.1,0.54,51.1,1010.3,0,0
29.0,1.93,42.9,986.8,0,0
31.9,0.04,47.1,1010.3,0,0
15.4,2.01,74.0,1023.3,1,1
22.3,2.19,47.4,1018.1,0,0
21.2,0.55,57.6,1035.8,0,0
19.8,1.82,60.3,1009.1,0,1
39.1,1.53,21.7,1020.3,0,0
28.2,0.6,30.6,1024.9,1,0
14.9,1.24,66.7,1048.1,0,0
32.3,4.81,45.3,1015.2,1,0
42.0,1.11,81.1,997.3,1,1
33.3,1.99,79.3,1025.7,1,1
12.8,0.07,74.4,1041.0,1,0
21.1,0.16,96.4,1008.2,0,1
35.1,0.17,58.3,1025.6,1,0
19.3,3.01,73.0,1031.4,0,1
28.6,0.86,48.3,1028.3,0,1
31.2,0.52,100.0,1014.9,1,1
17.6,2.75,99.7,1002.5,1,1
24.5,0.37,60.2,1011.8,1,0
-0.9,0.57,67.7,1019.9,1,1
16.8,1.13,87.2,1026.6,1,1
23.0,0.81,57.1,1018.0,1,1
15.0,1.76,46.9,1007.3,0,0
38.1,0.82,77.5,1021.3,0,0
13.6,1.0,61.6,1025.9,1,1
21.5,3.97,63.7,1018.7,0,0
26.0,4.32,43.3,1000.5,1,0
36.5,3.52,25.6,1010.3,1,0
13.5,4.0,64.7,1027.2,1,0
34.3,1.69,78.1,992.3,0,0
25.1,2.08,55.5,981.6,1,1
17.1,1.63,88.7,1035.6,1,1
28.7,3.08,45.9,1020.7,1,0
26.6,1.6,38.9,1022.1,1,1
20.2,0.24,58.7,996.8,0,0
25.6,3.32,58.3,1024.1,1,0
21.9,2.86,75.4,1017.1,1,1
25.9,3.43,44.5,989.2,1,1
30.3,0.42,87.4,1034.4,0,0
37.7,0.63,99.3,1015.4,0,0
15.1,0.7,59.2,1007.1,1,1
42.1,1.42,85.0,1007.3,0,0
9.4,0.29,38.9,982.8,0,1
23.8,0.97,81.5,1021.9,1,1
29.7,0.4,80.9,1016.9,1,1
27.2,0.62,77.3,1010.1,1,0
20.0,2.45,59.7,1032.2,0,0
23.3,3.86,0.9,992.2,0,0
21.1,0.05,47.2,1004.0,0,0
20.3,1.67,47.5,1000.2,1,0
31.8,0.07,40.4,1008.8,0,0
27.9,0.18,62.4,1014.0,0,0
19.5,2.44,51.6,1019.5,0,1
32.2,2.66,43.5,1007.8,0,1
27.5,3.36,38.8,999.8,1,1
31.5,1.29,45.7,1038.3,0,0
30.0,3.93,82.4,1049.2,0,1
18.4,0.37,46.8,1015.1,0,0
20.5,0.57,49.7,1001.6,1,1
31.0,0.29,50.9,1035.1,0,0
29.9,3.19,66.8,991.3,0,0
24.8,0.52,69.1,1008.0,0,0
25.9,0.34,0.0,1002.6,0,0
35.2,1.95,80.4,995.6,0,1
20.3,0.16,88.7,1008.8,0,0
29.4,0.09,39.0,1000.0,0,0
23.4,0.23,40.6,1013.2,0,0
23.3,0.0,51.0,1013.4,0,0
33.8,2.39,44.9,1003.7,0,1
31.6,1.65,64.5,1007.4,1,1
31.5,0.47,21.1,1009.5,1,0
35.4,0.53,37.6,1025.1,0,1
25.2,3.33,90.8,1010.8,1,1
30.5,1.39,41.4,1025.4,0,0
22.5,2.4,84.9,1021.8,1,1
27.6,1.21,67.1,1021.6,1,1
24.0,0.54,23.8,1033.8,0,0
25.8,7.04,72.7,996.2,1,1
29.8,1.67,57.6,1005.9,0,1
18.5,0.28,50.9,1039.4,1,1
41.7,1.04,64.9,1009.1,1,1
17.0,0.8,69.5,970.8,1,1
15.3,0.48,74.2,1010.0,1,1
34.3,5.42,83.6,1015.0,1,1
31.3,4.26,68.2,973.7,1,1
30.0,0.44,32.5,1033.0,0,1
30.0,0.87,50.5,1002.3,0,0
24.9,2.87,100.0,1017.9,1,1
17.8,0.47,74.5,1009.6,0,0
25.6,1.79,100.0,993.7,1,1
19.6,2.41,87.9,996.9,1,0
32.8,2.12,64.8,999.0,1,0
23.8,2.45,66.0,1029.3,1,1
18.4,2.45,59.3,1010.8,0,1
22.4,6.69,25.2,1005.2,0,0
28.3,0.85,60.4,999.0,0,0
20.5,4.22,84.2,1030.9,0,1
18.4,0.04,48.0,1035.0,1,0
26.9,0.68,68.2,1030.8,0,0
27.0,0.1,77.0,1020.4,0,0
20.9,2.11,41.8,1017.3,0,0
21.2,0.21,51.0,994.8,0,0
26.9,3.74,39.6,1009.3,1,0
13.4,2.08,43.6,1002.7,0,0
13.7,0.06,34.2,985.6,1,1
19.3,2.51,42.0,1028.9,0,0
23.3,3.96,88.4,1002.6,0,1
27.5,2.16,41.7,1030.9,0,0
36.8,0.06,62.5,1026.2,0,1
31.9,3.9,49.9,1021.4,1,0
23.7,2.64,83.6,1022.2,0,0
24.8,0.95,86.2,1003.8,1,0
17.0,0.8,77.3,1040.9,1,1
24.9,1.31,66.1,1013.6,1,1
22.7,4.04,55.4,1017.5,0,1
27.6,0.58,36.2,1003.3,0,0
18.4,0.21,98.9,999.0,0,0
29.2,4.0,44.8,1020.2,0,1
37.3,0.05,73.3,1016.3,0,1
24.1,4.84,81.2,1001.2,0,1
28.2,0.73,48.9,991.4,1,0
30.5,1.42,80.8,994.0,0,1
21.8,0.28,75.3,1030.9,1,0
26.8,4.65,94.6,1003.8,0,1
25.1,2.77,50.6,1007.9,0,1
25.8,5.16,34.3,1034.8,1,0
18.8,2.3,49.9,996.2,0,1
25.2,0.41,64.2,1002.1,0,1
29.0,0.74,61.2,1001.5,0,0
36.6,1.33,52.1,1037.3,1,1
32.7,1.87,21.8,1042.9,0,1
42.2,5.22,69.4,1024.3,0,0
18.9,0.97,99.4,1024.8,1,1
32.0,2.43,69.3,1004.3,1,0
26.5,6.49,72.2,1042.2,0,0
42.5,0.33,71.4,1017.0,1,1
18.5,3.97,67.9,1025.8,0,0
18.3,1.09,78.6,1011.4,1,0
20.2,2.64,67.9,1009.0,0,1
8.0,0.69,53.7,1037.9,0,0
20.8,0.81,44.1,1021.1,0,0
18.9,0.06,55.0,1034.8,1,1
26.2,7.11,66.3,1016.8,1,1
27.7,3.36,53.7,1000.3,0,0
40.0,0.2,66.3,1004.2,1,1
32.6,15.24,68.8,1014.5,1,1
20.4,1.86,76.7,1003.6,1,1
17.8,3.84,85.7,996.4,1,1
28.9,0.14,61.6,1031.0,0,0
14.4,0.99,33.8,1004.8,0,0
39.7,2.22,53.1,1015.1,0,1
34.4,0.23,60.9,1017.4,0,0
21.2,1.34,23.3,1004.2,0,1
11.3,1.17,87.8,1034.8,0,0
35.8,0.49,62.8,996.2,0,1
24.1,0.71,67.6,1016.9,0,1
34.9,6.83,87.3,1016.7,1,1
12.2,0.68,47.4,1012.2,0,0
20.2,0.48,71.5,993.5,1,0
25.0,1.54,57.8,1026.1,1,0
25.4,2.22,56.3,1024.2,0,0
21.4,2.58,44.6,1002.9,1,1
30.0,2.81,93.3,1023.6,0,1
16.5,0.08,52.5,1018.6,0,0
23.9,1.0,74.0,993.8,0,1
26.0,2.97,22.5,1000.2,0,1
29.1,4.7,83.6,1030.1,0,1
30.7,1.84,81.0,1017.6,1,0
16.0,0.11,61.9,1004.5,1,1
12.7,1.01,55.5,1000.1,0,1
35.2,0.15,68.0,1005.3,1,1
27.7,2.76,100.0,1006.3,0,1
19.0,0.13,24.7,1000.3,1,0
37.4,0.41,75.6,986.9,0,1
25.9,1.08,41.8,1030.1,0,0
34.4,1.24,59.6,1027.6,1,0
25.5,1.04,55.0,993.9,1,0
41.5,1.24,51.4,1015.0,0,0
39.0,2.5,59.8,999.5,1,0
23.0,0.92,37.3,1009.1,0,1
32.8,1.59,80.6,1007.8,0,0
30.2,0.72,24.1,1006.6,0,0
35.9,0.87,70.8,1043.0,1,1
17.3,1.9,53.5,1006.4,0,0
30.5,1.35,36.6,1000.9,1,0
33.5,2.57,64.0,1001.6,0,0
10.9,1.64,28.9,1028.7,0,1
15.5,3.25,60.8,988.2,1,0
8.7,1.17,31.5,1001.6,0,0
22.8,1.35,69.2,1034.7,0,0
30.7,2.22,41.5,1016.7,0,0
37.0,0.5,51.0,1015.9,1,1
25.6,0.98,65.9,1045.0,0,0
38.0,1.96,44.5,1016.7,0,0
14.0,0.06,58.8,1002.4,0,0
11.4,1.15,29.7,1008.8,0,0
24.6,1.83,72.6,996.0,0,1
28.1,6.85,95.3,1031.8,0,1
24.7,4.19,100.0,1021.6,1,1
8.5,0.66,61.8,1029.9,0,0
24.3,1.42,75.8,1031.2,1,1
14.6,0.12,24.4,1006.8,0,0
30.4,0.55,90.1,998.8,1,1
27.9,2.98,75.5,1012.2,0,0
17.5,0.26,50.3,999.9,0,0
20.9,0.6,84.7,1015.5,0,0
16.5,5.77,54.9,1030.0,1,1
24.5,3.47,50.8,1010.5,0,0
32.6,3.04,69.5,1015.2,0,1
17.1,4.0,38.7,1011.6,1,1
29.0,2.77,80.4,1025.0,1,1
20.8,0.26,38.9,1003.0,1,0
18.7,1.45,39.0,980.1,0,1
24.1,1.17,41.8,1020.1,1,1
16.7,0.75,75.2,1027.8,1,1
20.6,3.59,47.7,1019.7,1,1
15.4,1.25,33.0,1003.4,0,0
40.7,0.12,47.9,996.0,0,1
25.3,0.64,59.4,1020.4,0,1
19.4,0.52,36.4,1015.1,0,0
26.7,4.37,37.0,1011.1,1,1
24.1,2.09,100.0,1040.3,1,1
23.2,1.64,42.8,998.8,1,1
29.9,1.41,53.5,1039.6,1,0
31.1,2.1,52.7,1013.5,0,0
20.8,2.81,51.6,985.5,0,0
20.4,1.62,72.4,1010.3,1,0
22.8,5.57,79.0,1027.4,1,1
6.6,7.53,53.9,1007.5,0,1
12.9,10.74,35.3,990.9,0,1
35.9,2.21,85.5,1010.5,1,1
38.2,5.39,58.1,1000.1,0,1
23.0,1.04,94.6,1020.4,1,1
29.6,3.93,15.1,1024.6,1,0
27.5,4.8,63.9,997.2,1,1
49.6,4.69,98.4,1002.4,1,1
34.0,3.55,52.9,1024.3,1,0
24.0,1.04,55.5,1000.1,0,0
17.4,0.35,65.9,996.8,1,1
12.1,0.81,48.8,995.3,0,0
26.6,2.92,53.8,1018.3,0,0
18.9,0.53,53.2,1017.6,0,0
13.6,1.3,47.5,1002.7,0,1
19.8,1.67,84.6,1013.1,0,0
16.3,1.85,69.2,1035.9,0,0
38.5,5.49,65.0,998.4,1,1
32.1,2.17,76.2,983.7,0,1
24.9,3.09,54.7,1019.8,1,0
36.8,1.74,44.5,1011.3,0,0
25.6,3.59,47.9,1002.3,0,0
18.1,0.61,60.0,1022.8,1,1
37.2,0.47,38.8,1025.6,0,1
29.3,5.22,50.0,979.9,1,1
16.7,2.36,49.7,1003.2,0,1
23.5,2.23,100.0,1047.8,1,1
18.0,1.26,4.5,1021.8,0,0
13.9,0.95,56.4,1023.1,0,0
32.4,1.62,94.5,1030.6,1,1
40.3,0.26,62.4,1013.3,0,1
13.8,1.21,75.1,1025.0,0,0
29.5,1.22,62.0,1023.8,0,0
19.8,1.55,46.7,1021.1,0,0
21.1,2.01,15.2,1008.2,0,0
20.3,6.31,64.1,1015.6,0,0
18.1,2.11,44.5,1004.2,1,0
25.4,4.3,44.0,1013.2,1,0
18.4,1.63,50.0,995.5,0,1
27.2,1.97,94.9,1001.1,0,0
24.6,0.14,100.0,1008.8,1,1
23.1,0.29,64.3,998.8,1,1
17.7,1.73,50.7,1005.4,0,1
20.4,1.01,36.5,1010.5,0,0
31.0,3.21,69.4,1019.0,1,1
29.0,1.57,95.7,1027.2,0,0
17.2,4.28,55.1,1006.0,1,1
25.8,7.17,12.4,1033.0,0,0
31.0,0.32,73.4,1027.1,0,0
11.6,1.0,79.7,1020.6,1,0
29.3,2.19,28.3,1015.3,1,0
19.7,0.73,63.5,1017.8,0,0
29.6,0.62,69.0,1030.8,0,1
18.9,3.36,58.5,1031.4,0,0
10.6,7.86,44.2,1033.0,1,1
12.0,2.97,80.3,1013.6,1,0
25.4,1.48,51.9,1021.3,0,0
27.1,1.17,30.3,1033.2,0,0
17.8,1.55,19.0,1003.6,0,0
30.1,1.24,85.2,1008.2,0,0
11.7,1.4,72.3,1013.2,0,0
24.5,0.45,61.8,1026.5,0,0
15.3,4.68,51.2,1026.7,1,1
19.8,2.81,49.4,1009.5,0,0
25.4,2.28,38.5,990.4,0,1
18.1,5.99,51.4,1016.7,0,0
21.9,0.67,17.6,999.2,0,1
33.1,0.17,45.3,990.7,0,0
20.4,3.5,53.8,994.0,1,1
31.7,12.9,72.2,1017.9,1,1
16.0,1.73,59.2,1033.4,0,0
29.2,0.12,75.9,1013.6,1,1
36.5,3.03,87.0,1016.2,1,0
5.2,0.15,81.2,1030.7,0,0
18.6,1.55,69.4,989.8,1,1
29.6,0.65,60.2,1020.8,0,0
23.4,4.93,40.4,1012.8,1,1
28.0,1.2,74.8,1021.5,0,0
20.2,4.57,93.6,1005.7,0,0
25.7,0.71,66.8,1000.7,1,1
23.8,0.98,98.3,1015.1,0,0
34.3,5.88,29.5,1037.7,0,0
27.0,0.45,36.9,1025.9,0,1
27.7,1.73,77.1,1005.4,0,0
21.7,0.98,65.3,992.9,1,1
21.1,2.98,86.3,987.8,1,1
21.5,0.28,59.7,1032.7,1,1
28.2,1.15,42.6,998.7,0,1
21.6,2.4,55.7,1008.1,0,0
27.3,1.05,29.3,1032.8,0,0
41.6,0.12,37.4,988.8,0,0
32.0,2.44,79.4,1035.4,0,0
22.4,1.4,77.5,1009.2,0,0
34.6,0.02,67.3,995.8,1,0
21.7,1.9,25.6,1009.3,0,0
8.7,5.05,52.8,1002.2,0,1
16.9,0.24,35.5,1019.6,0,0
10.0,1.79,83.5,1003.3,1,1
22.2,2.61,48.3,984.3,0,0
25.1,0.15,38.3,1009.7,0,1
38.4,0.05,60.6,992.7,0,0
27.6,1.25,47.2,1016.1,1,1
23.2,3.13,89.7,995.2,0,1
31.6,0.35,45.3,1005.7,0,0
7.3,3.62,32.0,1015.7,1,1
26.9,2.14,16.9,1009.8,0,0
31.2,0.81,59.4,1016.8,0,0
13.2,1.45,48.8,1023.2,1,1
34.2,6.74,31.4,995.6,1,0
27.7,0.49,83.8,1012.0,1,0
21.7,1.38,73.3,963.1,1,1
30.1,1.96,59.4,1016.7,0,0
43.2,0.3,87.3,1008.5,0,1
26.5,0.09,73.3,998.2,1,1
27.0,0.03,43.5,1017.7,0,0
21.3,0.79,39.2,1030.6,1,0
18.2,0.15,76.4,1005.9,0,1
31.6,3.26,67.9,998.8,1,1
18.2,11.84,63.4,1015.5,1,1
25.6,0.13,43.1,993.0,0,0
21.2,1.13,72.2,1003.1,0,0
28.8,0.05,44.9,1031.3,0,0
27.7,0.29,58.0,1013.9,0,0
33.3,0.78,88.9,984.8,1,1
20.9,1.0,46.8,986.0,0,1
22.8,5.62,28.5,1015.4,0,0
17.2,1.01,38.9,1025.9,0,0
21.4,1.37,79.9,988.7,0,0
28.0,0.56,65.1,1019.7,0,0
31.1,0.0,57.4,1033.0,0,1
17.6,4.59,49.8,1041.3,0,1
32.0,0.17,69.7,1018.0,0,1
35.8,6.66,43.0,1020.6,1,0
28.3,0.28,66.1,981.0,1,0
40.0,1.86,45.4,1044.5,0,0
18.8,14.87,42.0,1004.4,1,1
15.0,0.3,47.3,999.0,0,0
10.8,1.1,52.5,1009.2,1,0
37.0,3.03,59.0,1035.7,1,1
30.2,0.07,64.7,1046.1,0,0
24.6,2.34,0.0,1014.9,0,1
27.2,0.17,43.8,1028.0,0,0
16.0,0.54,52.2,1013.6,0,0
44.6,0.35,90.1,997.4,0,1
26.0,4.76,38.4,1035.2,0,1
25.9,0.4,63.3,1003.7,0,1
30.8,0.08,89.9,1036.0,0,1
28.8,1.77,33.7,1032.5,0,0
26.8,0.85,67.9,1022.2,1,1
18.7,1.04,44.0,1040.4,0,0
28.8,0.25,49.9,1046.5,0,1
40.1,2.76,43.9,1010.4,0,0
35.8,1.84,45.4,1000.9,0,0
37.7,0.91,100.0,985.0,1,1
20.9,0.38,76.9,1046.7,0,0
17.1,1.8,82.0,1006.4,0,0
24.0,3.02,69.8,1030.0,0,1
25.4,0.75,27.9,1001.9,1,1
33.8,0.05,67.9,1036.1,0,0
11.5,0.48,81.5,1002.5,0,0
37.2,2.29,42.9,995.1,0,0
23.7,9.04,79.3,1009.9,0,1
21.6,0.03,74.1,1005.0,1,1
16.9,0.73,97.0,1021.9,1,0
11.8,0.13,51.6,1012.2,0,1
31.6,0.76,38.0,1022.4,0,1
25.6,1.04,52.8,1008.6,0,0
14.7,5.07,88.7,1003.0,1,1
14.6,0.17,23.4,1004.2,0,1
22.3,3.0,18.6,1043.7,0,1
38.4,1.01,61.8,1016.4,0,0
22.9,3.33,51.1,983.2,1,1
13.0,1.44,60.2,1005.2,0,0
23.0,0.08,78.9,1014.5,1,0
22.8,5.85,48.9,1040.7,1,1
3.4,0.17,22.5,1028.4,0,0
24.6,1.82,100.0,999.2,1,1
23.2,4.2,40.1,1049.3,0,1
30.6,0.17,38.8,1012.5,0,1
39.8,1.61,82.1,1031.7,1,0
34.0,3.48,52.3,995.7,0,1
22.8,8.58,58.7,977.0,0,1
16.1,2.58,69.7,991.9,1,1
45.6,0.65,81.7,964.2,0,1
25.5,2.41,53.3,1044.7,1,0
25.1,2.45,90.4,1016.2,1,0
24.8,2.41,17.3,999.1,0,0
26.6,3.85,75.2,1019.8,1,1
23.8,0.18,43.2,1015.8,0,0
20.4,0.23,87.4,1022.3,1,1
20.6,2.05,62.8,1031.1,0,0
24.7,6.15,46.5,1008.7,1,0
20.7,1.25,73.3,999.8,1,1
19.3,6.47,77.9,1025.4,0,0
25.9,5.56,72.8,1025.0,1,1
23.0,4.66,39.4,1014.5,0,1
37.0,4.81,50.3,1045.7,1,1
3.8,4.57,59.9,1006.4,1,1
